person,quote,display
Bruce Lee,"I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.","> *""I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.""* --Bruce Lee"
Bruce Lee,"Knowledge will give you power, but character respect.","> *""Knowledge will give you power, but character respect.""* --Bruce Lee"
Bruce Lee,A wise man can learn more from a foolish question than a fool can learn from a wise answer.,"> *""A wise man can learn more from a foolish question than a fool can learn from a wise answer.""* --Bruce Lee"
Bruce Lee,The key to immortality is first living a life worth remembering.,"> *""The key to immortality is first living a life worth remembering.""* --Bruce Lee"
Bruce Lee,"Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.","> *""Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.""* --Bruce Lee"
Bruce Lee,I'm not in this world to live up to your expectations and you're not in this world to live up to mine.,"> *""I'm not in this world to live up to your expectations and you're not in this world to live up to mine.""* --Bruce Lee"
Bruce Lee,"Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind.","> *""Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind.""* --Bruce Lee"
Bruce Lee,"If you love life, don't waste time, for time is what life is made up of.","> *""If you love life, don't waste time, for time is what life is made up of.""* --Bruce Lee"
Bruce Lee,"Love is like a friendship caught on fire. In the beginning a flame, very pretty, often hot and fierce, but still only light and flickering. As love grows older, our hearts mature and our love becomes as coals, deep-burning and unquenchable.","> *""Love is like a friendship caught on fire. In the beginning a flame, very pretty, often hot and fierce, but still only light and flickering. As love grows older, our hearts mature and our love becomes as coals, deep-burning and unquenchable.""* --Bruce Lee"
Bruce Lee,Showing off is the fool's idea of glory.,"> *""Showing off is the fool's idea of glory.""* --Bruce Lee"
Bruce Lee,"If you always put limit on everything you do, physical or anything else. It will spread into your work and into your life. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them.","> *""If you always put limit on everything you do, physical or anything else. It will spread into your work and into your life. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them.""* --Bruce Lee"
Bruce Lee,"If you spend too much time thinking about a thing, you'll never get it done.","> *""If you spend too much time thinking about a thing, you'll never get it done.""* --Bruce Lee"
Bruce Lee,It's not the daily increase but daily decrease. Hack away at the unessential.,"> *""It's not the daily increase but daily decrease. Hack away at the unessential.""* --Bruce Lee"
Bruce Lee,"A goal is not always meant to be reached, it often serves simply as something to aim at.","> *""A goal is not always meant to be reached, it often serves simply as something to aim at.""* --Bruce Lee"
Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.","> *""Mistakes are always forgivable, if one has the courage to admit them.""* --Bruce Lee"
Bruce Lee,"As you think, so shall you become.","> *""As you think, so shall you become.""* --Bruce Lee"
Bruce Lee,Real living is living for others.,"> *""Real living is living for others.""* --Bruce Lee"
Bruce Lee,A quick temper will make a fool of you soon enough.,"> *""A quick temper will make a fool of you soon enough.""* --Bruce Lee"
Bruce Lee,To hell with circumstances; I create opportunities.,"> *""To hell with circumstances; I create opportunities.""* --Bruce Lee"
Bruce Lee,The possession of anything begins in the mind.,"> *""The possession of anything begins in the mind.""* --Bruce Lee"
Bruce Lee,Take things as they are. Punch when you have to punch. Kick when you have to kick.,"> *""Take things as they are. Punch when you have to punch. Kick when you have to kick.""* --Bruce Lee"
Bruce Lee,"Ever since I was a child I have had this instinctive urge for expansion and growth. To me, the function and duty of a quality human being is the sincere and honest development of one's potential.","> *""Ever since I was a child I have had this instinctive urge for expansion and growth. To me, the function and duty of a quality human being is the sincere and honest development of one's potential.""* --Bruce Lee"
Bruce Lee,All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns.,"> *""All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns.""* --Bruce Lee"
Bruce Lee,"The less effort, the faster and more powerful you will be.","> *""The less effort, the faster and more powerful you will be.""* --Bruce Lee"
Bruce Lee,Obey the principles without being bound by them.,"> *""Obey the principles without being bound by them.""* --Bruce Lee"
Bruce Lee,To know oneself is to study oneself in action with another person.,"> *""To know oneself is to study oneself in action with another person.""* --Bruce Lee"
Bruce Lee,"Man, the living creature, the creating individual, is always more important than any established style or system.","> *""Man, the living creature, the creating individual, is always more important than any established style or system.""* --Bruce Lee"
Bruce Lee,Take no thought of who is right or wrong or who is better than. Be not for or against.,"> *""Take no thought of who is right or wrong or who is better than. Be not for or against.""* --Bruce Lee"
Bruce Lee,"To me, the extraordinary aspect of martial arts lies in its simplicity. The easy way is also the right way, and martial arts is nothing at all special; the closer to the true way of martial arts, the less wastage of expression there is.","> *""To me, the extraordinary aspect of martial arts lies in its simplicity. The easy way is also the right way, and martial arts is nothing at all special; the closer to the true way of martial arts, the less wastage of expression there is.""* --Bruce Lee"
Bruce Lee,You just wait. I'm going to be the biggest Chinese Star in the world.,"> *""You just wait. I'm going to be the biggest Chinese Star in the world.""* --Bruce Lee"
